OE0012;StÈí;Xèís.;Èíslo èipu;Id databáze;Pøíjmení;Jméno (køest.);RN;S;Blok;ms;Start;Cíl;Èas;Klasifikace;Kredit -;Penalizace +;Komentáø;È. oddílu;Název oddílu;Mìsto;Stát;Místo;Zkratka;Kat. è.;Krátkı;Dlouhı;Kat. è.;Kat. (krátká);Kat. (dlouhá);Ranking;Rankingové body;Num1;Num2;Num3;Text1;Text2;Text3;Pøíjmení;Jméno;Ulice;2.øádek;PSÈ;Mìsto;Tel;Mobil;Fax;E-mail;Pùjèeno;Vklady;Placeno;Drustvo;Èíslo tratì;Tra;km;m;Kontroly tratì;Místo;
;;;;;Tøiadvacátı;Štìpán;;M;;0;7:00;31:47;24:47;0;;;;90004;Ètyølístek;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;23;
;;;;;Ètyøiadvacátı;Michal;;M;;0;15:00;44:11;29:11;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;24;
;;;;;Pìtadvacátı;Tomáš;;M;;0;2:00;31:41;29:41;0;;;;90004;Ètyølístek;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;25;
;;;;;První;Adéla;;F;;0;44:00;53:23;9:23;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;1;
;;;;;Druhá;Elizabet;;F;;0;46:00;63:31;17:31;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;2;
;;;;;Tøetí;Zuzana;;F;;0;52:00;69:52;17:52;0;;;;90004;Ètyølístek;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;3;
;;;;;Ètvrtá;Nikola;;F;;0;45:00;63:33;18:33;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;4;
;;;;;Pátá;Natálie;;F;;0;51:00;70:07;19:07;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;5;
;;;;;Šestá;Tereza;;F;;0;50:00;70:06;20:06;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;6;
;;;;;Sedmá;Nela;;F;;0;42:00;63:41;21:41;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;7;
;;;;;Osmá;Kristına;;F;;0;41:00;63:40;22:40;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;8;
;;;;;Devátá;Klára;;F;;0;57:00;85:59;28:59;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;9;
;;;;;Desátá;Šárka;;F;;0;56:00;86:03;30:03;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;10;
;;;;;Jedenáctá;Radka;;F;;0;55:00;86:02;31:02;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;11;
;;;;;Dvanáctá;Nikola;;F;;0;54:00;85:51;31:51;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;12;
;;;;;Tøináctá;Nella;;F;;0;53:00;85:08;32:08;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;13;
;;;;;Ètrnáctá;Pavla;;F;;0;61:00;95:41;34:41;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;14;
;;;;;Patnáctá;Klára;;F;;0;43:00;78:33;35:33;0;;;;90004;Ètyølístek;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;15;
;;;;;Šestnáctá;Drahomíra;;F;;0;47:00;82:36;35:36;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;16;
;;;;;Sedmnáctá;Klaudie;;F;;0;60:00;95:40;35:40;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;17;
;;;;;Osmnáctá;Kateøina;;F;;0;49:00;86:35;37:35;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;18;
;;;;;Devatenáctá;Eliška;;F;;0;59:00;96:40;37:40;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;19;
;;;;;Dvacátá;Natálie;;F;;0;48:00;86:51;38:51;0;;;;90001;Jih;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;20;
;;;;;Jednadvacátá;Natálie;;F;;0;58:00;98:48;40:48;0;;;;90004;Ètyølístek;;;;;3;D5;D5;3;D5;D5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;21;
;;;;;První;Jonáš;;M;;0;73:00;81:02;8:02;0;;;;90001;Jih;;;;;4;H5;H5;4;H5;H5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;1;
;;;;;Druhı;Jan;;M;;0;76:00;85:30;9:30;0;;;;90002;Úšovice;;;;;4;H5;H5;4;H5;H5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;2;
;;;;;Tøetí;Ondøej;;M;;0;68:00;79:58;11:58;0;;;;90002;Úšovice;;;;;4;H5;H5;4;H5;H5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;3;
;;;;;Ètvrtı;Lukáš;;M;;0;70:00;85:50;15:50;0;;;;90001;Jih;;;;;4;H5;H5;4;H5;H5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;4;
;;;;;Pátı;Antonín;;M;;0;64:00;80:08;16:08;0;;;;90001;Jih;;;;;4;H5;H5;4;H5;H5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;5;
;;;;;Šestı;David;;M;;0;69:00;85:53;16:53;0;;;;90001;Jih;;;;;4;H5;H5;4;H5;H5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;6;
;;;;;Sedmı;Jan;;M;;0;65:00;86:30;21:30;0;;;;90001;Jih;;;;;4;H5;H5;4;H5;H5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;7;
;;;;;Osmı;David;;M;;0;77:00;102:34;25:34;0;;;;90001;Jih;;;;;4;H5;H5;4;H5;H5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;8;
;;;;;Devátı;Martin;;M;;0;71:00;102:50;31:50;0;;;;90001;Jih;;;;;4;H5;H5;4;H5;H5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;9;
;;;;;Desátı;Petr;;M;;0;66:00;99:02;33:02;0;;;;90001;Jih;;;;;4;H5;H5;4;H5;H5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;10;
;;;;;Jedenáctı;Jan;;M;;0;72:00;88:08;16:08;3;;;;90001;Jih;;;;;4;H5;H5;4;H5;H5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;;
;;;;;Dvanáctı;Jakub;;M;;0;75:00;91:35;16:35;3;;;;90001;Jih;;;;;4;H5;H5;4;H5;H5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;;
;;;;;Tøináctı;Marko;;M;;0;67:00;86:42;19:42;3;;;;90001;Jih;;;;;4;H5;H5;4;H5;H5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;;
;;;;;Ètrnáctı;Marek;;M;;0;74:00;117:15;43:15;3;;;;90001;Jih;;;;;4;H5;H5;4;H5;H5;;;;;;;;;;;;;;;;;;;0;0,00;0;;2;D5,H5;1,3;0;10;;
;;;;;První;Marie;;F;;0;56:00;68:26;12:26;0;;;;90003;Gymnázium;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;1;
;;;;;Druhá;Denisa;;F;;0;46:00;64:57;18:57;0;;;;90001;Jih;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;2;
;;;;;Tøetí;Kristına;;F;;0;45:00;64:58;19:58;0;;;;90001;Jih;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;3;
;;;;;Ètvrtá;Tereza;;F;;0;50:00;71:06;21:06;0;;;;90004;Ètyølístek;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;4;
;;;;;Pátá;Anna;;F;;0;43:00;64:49;21:49;0;;;;90001;Jih;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;5;
;;;;;Šestá;Tereza;;F;;0;55:00;77:28;22:28;0;;;;90001;Jih;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;6;
;;;;;Sedmá;Klaudie;;F;;0;42:00;64:40;22:40;0;;;;90001;Jih;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;7;
;;;;;Osmá;Eliška;;F;;0;53:00;75:57;22:57;0;;;;90002;Úšovice;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;8;
;;;;;Devátá;Michaela;;F;;0;54:00;77:35;23:35;0;;;;90001;Jih;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;9;
;;;;;Desátá;Anna;;F;;0;47:00;71:23;24:23;0;;;;90002;Úšovice;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;10;
;;;;;Jedenáctá;Nela;;F;;0;38:00;64:37;26:37;0;;;;90001;Jih;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;11;
;;;;;Dvanáctá;Baška;;F;;0;52:00;79:05;27:05;0;;;;90001;Jih;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;12;
;;;;;Tøináctá;Barbora;;F;;0;37:00;64:29;27:29;0;;;;90001;Jih;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;13;
;;;;;Ètrnáctá;Anna;;F;;0;51:00;79:04;28:04;0;;;;90001;Jih;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;14;
;;;;;Patnáctá;Jessika;;F;;0;49:00;77:26;28:26;0;;;;90001;Jih;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;15;
;;;;;Šestnáctá;Natálie;;F;;0;40:00;68:28;28:28;0;;;;90001;Jih;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;16;
;;;;;Sedmnáctá;Petra;;F;;0;57:00;87:05;30:05;0;;;;90002;Úšovice;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;17;
;;;;;Osmnáctá;Leona;;F;;0;39:00;83:05;44:05;0;;;;90004;Ètyølístek;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;18;
;;;;;Devatenáctá;Barbora;;F;;0;41:00;68:27;27:27;3;;;;90001;Jih;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;;
;;;;;Dvacátá;Lenka;;F;;0;48:00;76:00;28:00;3;;;;90001;Jih;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;;
;;;;;Jednadvacátá;Eliška;;F;;0;44:00;115:31;71:31;3;;;;90003;Gymnázium;;;;;5;D7;D7;5;D7;D7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;;
;;;;;První;Samuel;;M;;0;70:00;80:56;10:56;0;;;;90003;Gymnázium;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;1;
;;;;;Druhı;Tomáš;;M;;0;63:00;75:32;12:32;0;;;;90001;Jih;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;2;
;;;;;Tøetí;Jiøí;;M;;0;62:00;75:17;13:17;0;;;;90002;Úšovice;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;3;
;;;;;Ètvrtı;Lukáš;;M;;0;73:00;87:15;14:15;0;;;;90001;Jih;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;4;
;;;;;Pátı;Filip;;M;;0;61:00;75:20;14:20;0;;;;90001;Jih;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;5;
;;;;;Šestı;Jan;;M;;0;72:00;87:04;15:04;0;;;;90002;Úšovice;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;6;
;;;;;Sedmı;Adam;;M;;0;67:00;83:24;16:24;0;;;;90002;Úšovice;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;7;
;;;;;Osmı;Pavel;;M;;0;71:00;87:40;16:40;0;;;;90001;Jih;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;8;
;;;;;Devátı;Jakub;;M;;0;66:00;83:10;17:10;0;;;;90001;Jih;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;9;
;;;;;Desátı;Tomáš;;M;;0;65:00;83:16;18:16;0;;;;90002;Úšovice;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;10;
;;;;;Jedenáctı;Jiøí;;M;;0;60:00;78:47;18:47;0;;;;90001;Jih;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;11;
;;;;;Dvanáctı;Michal;;M;;0;64:00;82:54;18:54;0;;;;90001;Jih;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;12;
;;;;;Tøináctı;Marek;;M;;0;79:00;103:55;24:55;0;;;;90001;Jih;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;13;
;;;;;Ètrnáctı;David;;M;;0;78:00;103:50;25:50;0;;;;90002;Úšovice;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;14;
;;;;;Patnáctı;Lukáš;;M;;0;77:00;112:55;35:55;0;;;;90001;Jih;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;15;
;;;;;Šestnáctı;Jakub;;M;;0;76:00;113:13;37:13;0;;;;90002;Úšovice;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;16;
;;;;;Sedmnáctı;Dominik;;M;;0;75:00;113:10;38:10;0;;;;90001;Jih;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;17;
;;;;;Osmnáctı;Patrik;;M;;0;68:00;113:12;45:12;0;;;;90001;Jih;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;18;
;;;;;Devatenáctı;Matyáš;;M;;0;69:00;121:54;52:54;0;;;;90001;Jih;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;19;
;;;;;Dvacátı;Petr;;M;;0;74:00;103:59;29:59;3;;;;90001;Jih;;;;;6;H7;H7;6;H7;H7;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;;
;;;;;První;Kateøina;;F;;0;32:00;41:28;9:28;0;;;;90003;Gymnázium;;;;;7;D9;D9;7;D9;D9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;1;
;;;;;Druhá;Martina;;F;;0;24:00;36:05;12:05;0;;;;90003;Gymnázium;;;;;7;D9;D9;7;D9;D9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;2;
